---------------------------------------------------------------------------------------------------
File dibuat pada : 16/07 09:40:52
FORMAT ISI FILE INI
[waktu] (dibuka berapa kali) | (jarak tutup) | (kapasitas)
--> [2023-08-03T10:57:25.858Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-03T10:58:00.351Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-03T10:58:56.039Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-03T11:00:10.924Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-03T11:01:41.050Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-03T11:04:00.321Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-03T11:05:05.153Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-04T05:35:21.084Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-05T01:29:15.381Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-05T01:30:51.238Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-05T01:31:40.320Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-05T01:41:00.559Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-05T01:43:25.194Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-05T01:45:35.930Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-05T08:06:45.544Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-05T08:10:45.753Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-06T01:59:56.143Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-06T02:04:45.163Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-06T02:07:00.653Z] opened in: 1 | distance: 338 Cm | capacity: 7 %
--> [2023-08-14T06:22:20.639Z] opened in: 10 | distance: 189 Cm | capacity: 14 %
--> [2023-08-14T06:24:40.347Z] opened in: 10 | distance: 189 Cm | capacity: 14 %
--> [2023-08-14T06:25:40.638Z] opened in: 10 | distance: 189 Cm | capacity: 14 %
--> [2023-08-14T06:34:30.910Z] opened in: 10 | distance: 189 Cm | capacity: 14 %
--> [2023-08-14T06:34:50.580Z] opened in: 10 | distance: 189 Cm | capacity: 14 %
--> [2023-08-14T07:15:20.695Z] opened in: 10 | distance: 189 Cm | capacity: 14 %
--> [2023-08-14T11:42:45.595Z] opened in: 10 | distance: 189 Cm | capacity: 14 %
--> [2023-08-14T11:45:00.758Z] opened in: 10 | distance: 189 Cm | capacity: 14 %
--> [2023-08-14T11:45:40.193Z] opened in: 10 | distance: 189 Cm | capacity: 14 %
--> [2023-08-14T11:46:50.685Z] opened in: 10 | distance: 189 Cm | capacity: 14 %
--> [2023-08-14T11:50:05.719Z] opened in: 10 | distance: 189 Cm | capacity: 14 %
--> [2023-08-14T11:51:40.320Z] opened in: 10 | distance: 189 Cm | capacity: 14 %
--> [2023-08-14T11:53:15.897Z] opened in: 10 | distance: 189 Cm | capacity: 14 %
--> [2023-08-14T12:09:20.565Z] opened in: 10 | distance: 189 Cm | capacity: 14 %
--> [2023-08-14T14:44:15.203Z] opened in: 10 | distance: 189 Cm | capacity: 14 %
--> [2023-08-14T14:49:40.791Z] opened in: 10 | distance: 189 Cm | capacity: 14 %
--> [2023-08-14T14:51:40.653Z] opened in: 10 | distance: 189 Cm | capacity: 14 %
--> [2023-08-14T14:52:56.063Z] opened in: 10 | distance: 189 Cm | capacity: 14 %
--> [2023-08-15T00:41:45.660Z] opened in: 10 | distance: 189 Cm | capacity: 14 %
--> [2023-08-15T02:18:00.859Z] opened in: 10 | distance: 189 Cm | capacity: 14 %
--> [2023-08-15T02:21:35.540Z] opened in: 10 | distance: 189 Cm | capacity: 14 %
--> [2023-08-15T02:22:30.991Z] opened in: 10 | distance: 189 Cm | capacity: 14 %
--> [2023-08-15T02:23:05.535Z] opened in: 10 | distance: 189 Cm | capacity: 14 %
